player_id,name,role,dimension,top_drivers
262048,Al. Miranchuk,Midfielder,progression,final_third_entry x1 (+3.0); failed_progressive x2 (-0.8); forward_pass_small x4 (+0.6)
262048,Al. Miranchuk,Midfielder,recovery,def_duel_won x3 (+6.0); loose_ball_won x2 (+2.0)
262048,Al. Miranchuk,Midfielder,retention,lost_ball x5 (-5.0); dangerous_lost x1 (-3.0); accurate_pass x13 (+1.3)
398219,Ali Al Bulayhi,Defender,defensive_disruption,clearance x2 (+3.0)
398219,Ali Al Bulayhi,Defender,progression,final_third_entry x7 (+21.0); forward_pass_small x26 (+3.9); failed_progressive x3 (-1.2)
398219,Ali Al Bulayhi,Defender,recovery,interception x7 (+21.0); def_duel_won x1 (+2.0); def_duel_lost x2 (-1.0)
398219,Ali Al Bulayhi,Defender,retention,dangerous_lost x2 (-6.0); lost_ball x5 (-5.0); accurate_pass x34 (+3.4)
198120,Ali Gabr,Defender,chance_creation,accurate_cross x1 (+1.0)
198120,Ali Gabr,Defender,defensive_disruption,clearance x14 (+21.0)
198120,Ali Gabr,Defender,finishing,shot_off_target x1 (-0.3)
198120,Ali Gabr,Defender,goal_protection,own_box_clearance x13 (+13.0)
198120,Ali Gabr,Defender,progression,final_third_entry x4 (+12.0); forward_pass_small x57 (+8.6); failed_progressive x1 (-0.4)
198120,Ali Gabr,Defender,recovery,interception x15 (+45.0); def_duel_won x4 (+8.0); def_duel_lost x6 (-3.0)
198120,Ali Gabr,Defender,retention,lost_ball x8 (-8.0); accurate_pass x74 (+7.4)
214220,Alisson,Goalkeeper,defensive_disruption,clearance x1 (+1.5)
214220,Alisson,Goalkeeper,goal_protection,reflex_save x6 (+30.0); save x3 (+12.0); own_box_clearance x1 (+1.0)
214220,Alisson,Goalkeeper,progression,final_third_entry x4 (+12.0); forward_pass_small x45 (+6.8); failed_progressive x2 (-0.8)
214220,Alisson,Goalkeeper,recovery,interception x7 (+21.0)
214220,Alisson,Goalkeeper,retention,accurate_pass x47 (+4.7); lost_ball x2 (-2.0)
214220,Alisson,Goalkeeper,transition,keeper_launch x10 (+15.0)
