coach,team,dimension,top_drivers
Adam Nawałka,Poland,set_pieces,set_piece_goal x2 (+10.0); corner_leading_to_shot x4 (+8.0); corner_taken x17 (+5.1)
Fernando Santos,Portugal,buildup_quality,final_third_entry x183 (+366.0); turnover_own_third x82 (-164.0); pass_into_box x43 (+129.0)
Fernando Santos,Portugal,chance_creation,shot_central_box x9 (+27.0); cross_into_box x16 (+16.0); shot_outside_box x27 (+13.5)
Fernando Santos,Portugal,defensive_organisation,interception_own_half x116 (+174.0); shot_conceded_from_box x27 (-94.5); clearance_from_box x33 (+33.0)
Fernando Santos,Portugal,pressing_structure,duel_won_opp_third x109 (+163.5); duel_won_opp_half x46 (+46.0); interception_opp_third x13 (+39.0)
Fernando Santos,Portugal,set_pieces,set_piece_goal x3 (+15.0); corner_leading_to_shot x7 (+14.0); free_kick_shot x6 (+9.0)
Stanislav Cherchesov,Russia,buildup_quality,final_third_entry x155 (+310.0); turnover_own_third x115 (-230.0); pass_into_box x51 (+153.0)
Stanislav Cherchesov,Russia,chance_creation,shot_central_box x16 (+48.0); shot_wide_box x9 (+13.5); assist x3 (+12.0)
Stanislav Cherchesov,Russia,defensive_organisation,interception_own_half x182 (+273.0); shot_conceded_from_box x42 (-147.0); clearance_from_box x87 (+87.0)
Stanislav Cherchesov,Russia,pressing_structure,duel_won_opp_third x143 (+214.5); interception_opp_third x44 (+132.0); duel_won_opp_half x77 (+77.0)
Stanislav Cherchesov,Russia,set_pieces,corner_leading_to_shot x7 (+14.0); free_kick_cross_in_box x10 (+10.0); set_piece_goal x2 (+10.0)
Juan Antonio Pizzi,Saudi Arabia,buildup_quality,final_third_entry x160 (+320.0); turnover_own_third x45 (-90.0); pass_into_box x27 (+81.0)
Juan Antonio Pizzi,Saudi Arabia,chance_creation,shot_central_box x11 (+33.0); key_pass x6 (+12.0); shot_outside_box x16 (+8.0)
Juan Antonio Pizzi,Saudi Arabia,defensive_organisation,interception_own_half x97 (+145.5); shot_conceded_from_box x23 (-80.5); clearance_from_box x27 (+27.0)
Juan Antonio Pizzi,Saudi Arabia,pressing_structure,duel_won_opp_third x64 (+96.0); duel_won_opp_half x32 (+32.0); interception_opp_half x15 (+30.0)
Juan Antonio Pizzi,Saudi Arabia,set_pieces,corner_leading_to_shot x4 (+8.0); free_kick_shot x3 (+4.5); corner_taken x13 (+3.9)
Aliou Cissé,Senegal,buildup_quality,final_third_entry x95 (+190.0); turnover_own_third x60 (-120.0); pass_into_box x32 (+96.0)
Aliou Cissé,Senegal,chance_creation,shot_central_box x10 (+30.0); key_pass x6 (+12.0); shot_wide_box x8 (+12.0)
Aliou Cissé,Senegal,defensive_organisation,interception_own_half x84 (+126.0); shot_conceded_from_box x14 (-49.0); clearance_from_box x27 (+27.0)
Aliou Cissé,Senegal,pressing_structure,duel_won_opp_third x74 (+111.0); duel_won_opp_half x39 (+39.0); interception_opp_third x13 (+39.0)
Aliou Cissé,Senegal,set_pieces,free_kick_shot x3 (+4.5); corner_leading_to_shot x2 (+4.0); free_kick_cross_in_box x3 (+3.0)
Mladen Krstajić,Serbia,buildup_quality,final_third_entry x123 (+246.0); pass_into_box x52 (+156.0); turnover_own_third x44 (-88.0)
Mladen Krstajić,Serbia,chance_creation,shot_central_box x19 (+57.0); cross_into_box x19 (+19.0); key_pass x9 (+18.0)
Mladen Krstajić,Serbia,defensive_organisation,interception_own_half x90 (+135.0); shot_conceded_from_box x26 (-91.0); shot_conceded x16 (-32.0)
Mladen Krstajić,Serbia,pressing_structure,duel_won_opp_third x105 (+157.5); duel_won_opp_half x48 (+48.0); interception_opp_third x15 (+45.0)
Mladen Krstajić,Serbia,set_pieces,corner_leading_to_shot x5 (+10.0); set_piece_goal x1 (+5.0); corner_taken x12 (+3.6)
Fernando Hierro,Spain,buildup_quality,final_third_entry x376 (+752.0); pass_into_box x61 (+183.0); turnover_own_third x45 (-90.0)
Fernando Hierro,Spain,chance_creation,shot_central_box x31 (+93.0); key_pass x12 (+24.0); cross_into_box x22 (+22.0)
Fernando Hierro,Spain,defensive_organisation,interception_own_half x71 (+106.5); shot_conceded_from_box x10 (-35.0); shot_conceded x11 (-22.0)
Fernando Hierro,Spain,pressing_structure,duel_won_opp_third x149 (+223.5); interception_opp_third x26 (+78.0); duel_won_opp_half x53 (+53.0)
Fernando Hierro,Spain,set_pieces,corner_leading_to_shot x9 (+18.0); set_piece_goal x2 (+10.0); free_kick_cross_in_box x9 (+9.0)
Janne Andersson,Sweden,buildup_quality,final_third_entry x130 (+260.0); turnover_own_third x94 (-188.0); pass_into_box x48 (+144.0)
Janne Andersson,Sweden,chance_creation,shot_central_box x29 (+87.0); key_pass x14 (+28.0); cross_into_box x19 (+19.0)
Janne Andersson,Sweden,defensive_organisation,interception_own_half x234 (+351.0); shot_conceded_from_box x34 (-119.0); clearance_from_box x93 (+93.0)
Janne Andersson,Sweden,pressing_structure,duel_won_opp_third x105 (+157.5); duel_won_opp_half x52 (+52.0); interception_opp_third x15 (+45.0)
Janne Andersson,Sweden,set_pieces,corner_leading_to_shot x8 (+16.0); free_kick_cross_in_box x11 (+11.0); free_kick_shot x5 (+7.5)
Vladimir Petković,Switzerland,buildup_quality,final_third_entry x157 (+314.0); pass_into_box x43 (+129.0); turnover_own_third x63 (-126.0)
Vladimir Petković,Switzerland,chance_creation,shot_central_box x19 (+57.0); cross_into_box x19 (+19.0); key_pass x7 (+14.0)
Vladimir Petković,Switzerland,defensive_organisation,interception_own_half x109 (+163.5); shot_conceded_from_box x32 (-112.0); clearance_from_box x38 (+38.0)
Vladimir Petković,Switzerland,pressing_structure,duel_won_opp_third x99 (+148.5); duel_won_opp_half x43 (+43.0); interception_opp_third x13 (+39.0)
Vladimir Petković,Switzerland,set_pieces,corner_leading_to_shot x11 (+22.0); corner_taken x26 (+7.8); set_piece_goal x1 (+5.0)
Nabil Maâloul,Tunisia,buildup_quality,final_third_entry x105 (+210.0); turnover_own_third x56 (-112.0); pass_into_box x27 (+81.0)
Nabil Maâloul,Tunisia,chance_creation,shot_central_box x12 (+36.0); cross_into_box x12 (+12.0); key_pass x6 (+12.0)
Nabil Maâloul,Tunisia,defensive_organisation,interception_own_half x83 (+124.5); shot_conceded_from_box x28 (-98.0); def_duel_won_own_third x30 (+30.0)
Nabil Maâloul,Tunisia,pressing_structure,duel_won_opp_third x45 (+67.5); interception_opp_third x17 (+51.0); duel_won_opp_half x28 (+28.0)
Nabil Maâloul,Tunisia,set_pieces,set_piece_goal x1 (+5.0); corner_taken x10 (+3.0); corner_leading_to_shot x1 (+2.0)
Óscar Tabárez,Uruguay,buildup_quality,final_third_entry x231 (+462.0); pass_into_box x56 (+168.0); turnover_own_third x80 (-160.0)
Óscar Tabárez,Uruguay,chance_creation,shot_central_box x22 (+66.0); cross_into_box x20 (+20.0); key_pass x8 (+16.0)
Óscar Tabárez,Uruguay,defensive_organisation,interception_own_half x143 (+214.5); clearance_from_box x64 (+64.0); shot_conceded x28 (-56.0)
Óscar Tabárez,Uruguay,pressing_structure,duel_won_opp_third x118 (+177.0); interception_opp_third x32 (+96.0); duel_won_opp_half x63 (+63.0)
Óscar Tabárez,Uruguay,set_pieces,corner_leading_to_shot x10 (+20.0); set_piece_goal x4 (+20.0); free_kick_shot x6 (+9.0)
